AGCnr,RA,DEC,Vsys(km/s),W50(km/s),W50err,W20(km/s),flux(Jy*km/s),fluxerr,SN,rms,smo,FitType,comments
11758,322.7405386279354,13.98578678548917,8626.981831859805,608.7165262003646,40.75176260103467,644.2483467791926,3.120745968793453,0.48541102709279704,2.5819951594529145,8.879794179451928,21,MultiGauss,
AGC11758.fits,322.7405386279354,13.98578678548917,8650.149144015639,616.1196197709447,27.564731472488884,630.1792105820747,3.087240365925338,0.4170337606093354,2.525307958859256,8.873726839378882,7,trap,
20503,11.384439577486571,-26.56462735210496,6802.9622879935505,295.8594703360622,17.33256101221669,315.42945006725125,3.0622659331512443,0.3714938990515802,4.343539448032861,9.16518841147787,21,MultiGauss,
AGC20503.fits,11.384439577486571,-26.56462735210496,6814.582425161563,289.3105077266596,7.927454366347971,440.84771996444476,3.665489780040457,0.1325241444473231,1.6423813109151264,7.247055588645199,6,gauss,
AGC20503.fits,11.384439577486571,-26.56462735210496,6800.9624253290385,298.89338674133717,17.968554610505393,324.78918308644927,3.4056445797188633,0.23563076839077873,6.078054342095259,7.247055588645199,6,twopeak,
AGC20503.fits,11.384439577486571,-26.56462735210496,6812.857872690149,338.30384162015525,26.190862065743893,378.3448121779247,3.442960147357356,0.25087812969472434,5.775664271469967,7.247055588645199,6,trap,
AGC21306.fits,25.094638429326665,-28.91410732465208,5680.672978766254,427.2073054499088,27.421402067641814,650.9731293191869,8.505558270650907,0.5831735082196019,2.0698173771401964,9.036492787414447,6,gauss,
AGC21306.fits,25.094638429326665,-28.91410732465208,5702.272232329353,288.7426969982111,4.19321161070292,297.2524544669008,5.413945931795038,0.2877739661022732,7.883943545389486,9.036492787414447,6,twopeak,
AGC21306.fits,25.094638429326665,-28.91410732465208,5707.241882273324,334.0084282106254,19.131783805312104,363.9071242353266,5.897650245041431,0.3096906836683089,7.985192616706984,9.036492787414447,6,trap,
21306,25.094638429326665,-28.91410732465208,5708.767844160302,306.02426496979945,11.073597060520093,332.0046050403263,6.057754708171793,0.36673993418244527,8.587788229359221,9.016488390391817,21,MultiGauss,
2164,40.28933125493007,43.68152231947451,6861.896487531729,391.55167251879897,11.47671783548907,415.963303197971,6.750474862199602,0.36014005861443443,9.164162982054956,8.323998253719054,21,MultiGauss,
AGC2164.fits,40.28933125493007,43.68152231947451,6849.02044721431,360.80800733845473,7.988993969571021,549.7947123661112,7.110456709639277,0.2075775088218365,2.22677944844193,8.31403611300904,7,gauss,
AGC2164.fits,40.28933125493007,43.68152231947451,6859.708868036763,399.08137386433725,11.075970687368617,419.0913121651291,6.730162685367751,0.3124199880301991,9.060828882106543,8.31403611300904,7,twopeak,
222248,193.7141602203023,58.88184207960077,2557.731594664975,178.2644304378551,15.785416646567608,245.5562900452238,10.732112685042997,0.2690020168804167,22.251983153740635,8.077354724777345,21,MultiGauss,
AGC222248.fits,193.7141602203023,58.88184207960077,2567.8606468848807,158.0071968443706,3.587403493093129,240.7693830900397,10.629720232570225,0.3054691320182527,7.811888573472467,8.090152485251723,7,gauss,
AGC222248.fits,193.7141602203023,58.88184207960077,2561.2115943981016,168.4046171029229,8.071341391176853,204.58317784665658,9.778068405927584,0.19469728922145405,20.82592829984459,8.090152485251723,7,twopeak,
AGC222248.fits,193.7141602203023,58.88184207960077,2564.080419613804,187.09812767346028,11.859324734544973,244.63774097945696,10.384333337255413,0.20558728343933771,20.98322292567001,8.090152485251723,7,trap,
22318,46.32410430368502,-39.561370918850066,6077.381778854233,317.41224182342336,16.85879678922855,345.54100825730217,4.146589381302587,0.3673552455098577,5.763352167095437,9.030026802928475,21,MultiGauss,
AGC22318.fits,46.32410430368502,-39.561370918850066,6082.760634852077,340.9864586180659,12.210075915445811,519.5908852455163,4.422591635648346,0.201605577280003,1.3395628884330752,9.095872876440584,7,gauss,
AGC22318.fits,46.32410430368502,-39.561370918850066,6085.57617854027,339.0496830360469,8.986386461197526,516.6396509259437,4.330870101191165,0.1518493762917382,1.2393179209443175,9.682708708432756,7,gauss,
AGC22318.fits,46.32410430368502,-39.561370918850066,6078.813743174216,323.64037111889866,7.960357591590809,332.2193099569813,3.8159720317043537,0.32683673872837754,4.89848714893392,9.682708708432756,7,twopeak,
AGC22318.fits,46.32410430368502,-39.561370918850066,6079.499229207084,335.56083750269954,14.944564137681914,347.38765258370586,3.80789244332701,0.33293062839450144,4.80050773050929,9.682708708432756,7,trap,
2269,53.40144325531631,-36.1403673535723,1634.5784245999334,386.91533451538567,1.540155722144846,416.8888461666677,116.7082090126994,0.6578220951033834,90.69408348651032,14.628489324670095,21,MultiGauss,
AGC2269.fits,53.40144325531631,-36.1403673535723,1619.4712649596906,358.3331892406731,4.707208124377256,546.0236156150573,125.72895992146579,2.18400105983094,23.17980587925308,14.22021867575232,None,gauss,
AGC2269.fits,53.40144325531631,-36.1403673535723,1635.6571230189843,377.89866385628466,1.4554841948676687,410.5980958084567,116.33529186525031,0.5110671857677116,94.10279715511113,14.22021867575232,None,twopeak,
AGC2269.fits,53.40144325531631,-36.1403673535723,1621.1710784506606,394.8195199189249,2.730896435972169,444.8822141698565,117.36882818735943,0.5231472487493647,92.88213461273607,14.22021867575232,None,trap,
23161,61.12660714446803,-17.905663820145875,8042.602946979693,462.3869683743185,14.276123152671419,497.76781636997,8.005274133807445,0.4253599623893231,8.641639106020447,8.959618038052385,21,MultiGauss,
