430359,Session,Scan,S/N (Arya),S/N (Jen),S/N (Becky),"S/N (J,S,A)",S/N (Katie),S/N (Alex),S/N average,S/N(Arya)(median-method),S/N (Tom)(median-method),"S/N (J,S,A)(median-method)","Classification (gps, detection, non-detection)",,,,-> Strong Detection (S/N >= 8),
530277,20,43,,,,12.31,,,,,,10.34,,,,,,
530277,20,45,,,,,,,,,,,,,,,,
10483,21,5,,,,,,,,,,,,,,,,
10483,21,7,,,,,,,,,,,,,,,,
10483,25,19,,,,,,,,,,,,,,,,
10483,25,21,,,,3.67,,,,,,3.04,,,,,,
12833,21,37,,,,,,,,,,,,,,,,
12833,21,39,,,,,,,,,,,,,,,,
12833,26,21,,,,,,,,,,,,,,,,
12833,26,23,,,,10.6,,,,,,8.56,,,,,,
520068,22,9,,,,32.3,,,,,,31.3,,,,,,
520068,22,11,,,,,,,,,,,,,,,,
29613,22,13,,,,,,,,,,,,,,,,
29613,22,15,,,,,,,,,,,,,,,,
531590,22,17,,,,16.6,,,,,,15.2,,,,,,
531590,22,19,,,,,,,,,,,,,,,,
540314,22,21,,,,,,,,,,,,,,,,
540314,22,23,,,,,,,,,,,,,,,,
540121,22,25,,,,14.3,,,,,,,,,,,,
540121,22,27,,,,,,,,,,,,,,,,
540121,23,27,,,,,,,,,,10.49,,,,,,
540121,27,31,,,,,,,,,,,,,,,,
28479,23,5,,,,,,,,,,,,,,,,
28479,23,7,,,,4.76,,,,,,4.13,,,,,,
520432,23,9,,,,6.8,,,,,,,,,,,,
520432,23,11,,,,,,,,,,5.01,,,,,,
520432,27,17,,,,,,,,,,,,,,,,
520432,27,19,,,,,,,,,,,,,,,,
8455,23,17,,,,,,,,,,,,,,,,
8455,25,9,,,,,,,,,,,,,,,,
221146,23,19,,,,,,,,,,,,,,,,
221146,23,21,,,,,,,,,,,,,,,,
520167,23,23,,,,7.28,,,,,,,,,,,,
520167,23,25,,,,,,,,,,3.69,,,,,,
520167,27,23,,,,,,,,,,,,,,,,
520167,27,25,,,,,,,,,,,,,,,,
540155,23,29,,,,,,,,,,,,,,,,
540155,23,31,,,,,,,,,,,,,,,,
10030,23,33,,,,,,,,,,,,,,,,
10030,23,35,,,,8.42,,,,,,7.45,,,,,,
125371,24,23,,,,,,,,,,,,,,,,
125371,24,25,,,,,,,,,,,,,,,,
120493,24,27,,,,,,,,,,,,,,,,
120493,24,29,,,,,,,,,,,,,,,,
430559,24,35,,,,,,,,,,,,,,,,
430559,24,37,,,,,,,,,,,,,,,,
431482,24,39,,,,,,,,,,,,,,,,
431482,24,41,,,,,,,,,,,,,,,,
9419,25,11,,,,,,,,,,,,,,,,
240937,25,13,,,,,,,,,,,,,,,,
270462,25,27,,,,,,,,,,,,,,,,
270462,25,29,,,,,,,,,,,,,,,,
270462,25,31,,,,,,,,,,,,,,,,
270462,25,33,,,,,,,,,,,,,,,,
270462,25,35,,,,,,,,,,,,,,,,
215538,27,9,,,,,,,,,,,,,,,,
215538,27,11,,,,,,,,,,,,,,,,
